12.7272,13.3454,13.938,14.6617,16.1873,17.9443,19.3937,21.5058,23.9279,25.4164,28.9661,34.3574,38.1399,43.7039,48.6867,52.8565,57.8618,62.394,68.9,75.4961,77.9447,77.5643,79.3386,77.9203,76.292,71.7328,68.9583,64.8833,60.1619,54.01,50.3406,44.2088,38.2857,29.7255,22.953,17.412,13.1573,9.9641,8.1143,7.0138,5.5183
15.3378,15.9345,16.7527,17.7116,19.3328,21.3746,23.2734,25.7116,28.6814,30.5017,34.3376,40.2134,44.9788,51.355,56.8454,62.3511,68.2656,73.7101,81.7641,87.5351,91.0851,91.0824,92.9533,91.9259,88.5702,83.7155,79.4378,74.9032,70.2698,63.5633,58.5792,51.3544,44.8983,34.4034,26.2486,20.3624,15.3072,11.555,9.4654,8.057,6.4209
18.479,19.2354,19.8545,21.0378,22.9977,25.4599,27.7858,30.7157,33.7729,35.7232,40.2609,47.3873,52.3345,60.5103,67.1717,72.1404,79.4609,85.9736,94.7151,102.4824,105.7423,105.6114,107.2995,104.7622,103.8609,97.8199,93.1696,85.9065,80.9318,73.6272,67.3886,59.1397,51.9845,39.8119,30.4649,23.3506,17.6634,13.2949,10.8143,9.3561,7.2908
21.7829,22.9295,23.7321,24.8585,27.4602,29.9662,32.1343,35.6842,39.5815,41.6057,46.9363,55.1507,60.9686,69.3693,78.3688,84.2556,91.4918,98.8095,109.8792,116.12,121.0774,122.7659,122.9829,123.1221,118.2667,111.0217,105.9793,99.8606,94.2359,84.0118,77.4211,67.9439,59.2634,45.3218,34.8284,26.5903,20.4473,15.2404,12.3197,10.6807,8.4005
25.8487,26.6385,27.6705,29.0919,32.0241,35.2073,38.0629,42.1989,45.9054,48.4572,55.3661,63.6044,71.2063,80.421,88.5102,96.6442,105.4992,113.3086,126.1264,132.9601,139.2866,141.1291,140.5417,140.067,134.8195,127.93,121.7537,114.53,106.4917,95.801,87.5415,78.0705,67.8801,51.8976,40.0904,30.3453,23.1112,17.3774,14.2283,12.2515,9.5667
30.1695,31.4521,32.5131,34.1576,37.0911,40.7715,43.5239,47.8573,53.0453,56.7565,63.052,73.2866,81.7588,93.0063,103.1096,111.7688,121.3945,130.5335,144.9023,153.5554,158.8156,158.2691,160.8693,157.7332,154.4272,145.2603,136.5118,130.0726,122.2221,109.6029,98.8887,88.7432,76.1031,59.3393,45.6346,34.8632,26.1798,19.6781,15.9377,13.6856,10.763
35.0984,35.8873,37.7991,39.1688,42.805,46.8233,51.0336,55.4717,61.1855,64.863,73.0055,84.8531,92.7324,105.8198,117.808,125.8486,137.5832,148.0776,162.8337,176.8578,181.812,181.2402,181.4921,180.3318,173.5642,163.271,156.1987,147.3074,137.2351,122.8561,112.8602,100.6797,85.8713,66.7333,51.3658,39.4412,29.5693,22.1536,18.0702,15.5788,12.3162
40.1207,41.4465,43.6973,45.107,48.6504,54.2832,58.5198,64.1401,69.4164,74.2854,81.8303,96.532,105.7965,121.3395,134.204,141.6807,155.9514,166.5928,183.2805,195.965,202.6369,203.463,205.6325,200.3287,196.3212,186.3437,174.1403,163.3746,154.4123,138.3444,126.5845,113.1339,97.6309,75.051,57.9854,44.1052,32.9322,24.9966,20.1888,17.4302,13.7559
46.1646,47.8113,50.0315,51.8562,56.2362,60.6569,65.5098,72.2638,79.6151,83.6251,93.3638,109.2938,120.82,135.2998,149.9181,159.6078,176.0147,188.7252,207.7638,220.2442,228.3446,229.735,230.7734,229.0156,219.2599,207.5086,195.78,183.2538,172.5438,154.6721,140.373,125.356,109.2309,84.1225,64.2358,49.4593,36.8608,27.9552,22.4994,19.5337,15.2312
52.7578,54.9921,56.4762,58.6909,63.7382,69.7869,75.3949,81.8902,89.1328,95.1348,106.4114,123.0605,135.0362,152.7997,167.4856,180.6165,197.017,211.2719,232.7798,249.8848,257.829,253.4114,261.1708,253.44,246.1822,228.8792,217.4643,206.9844,192.3396,173.1492,157.2441,140.2227,121.1857,92.6906,70.8426,55.0537,41.0978,30.8915,24.9097,21.5429,16.9867
