Temperature (degree) \ D (V/nm),0.0989,0.1174,0.1358,0.1543,0.1727,0.1912,0.2096,0.2281,0.2465,0.265,0.2834,0.3019,0.3203,0.3388,0.3572,0.3757,0.3941,0.4126,0.431,0.4495,0.468,0.4864,0.5049,0.5233,0.5418,0.5602,0.5787,0.5971,0.6156,0.634,0.6525,0.6709,0.6894,0.7078,0.7263,0.7447,0.7632,0.7816,0.8001,0.8185,0.837
673,12.7272,13.3454,13.9380,14.6617,16.1873,17.9443,19.3937,21.5058,23.9279,25.4164,28.9661,34.3574,38.1399,43.7039,48.6867,52.8565,57.8618,62.3940,68.9000,75.4961,77.9447,77.5643,79.3386,77.9203,76.2920,71.7328,68.9583,64.8833,60.1619,54.0100,50.3406,44.2088,38.2857,29.7255,22.9530,17.4120,13.1573,9.9641,8.1143,7.0138,5.5183
693,15.3378,15.9345,16.7527,17.7116,19.3328,21.3746,23.2734,25.7116,28.6814,30.5017,34.3376,40.2134,44.9788,51.3550,56.8454,62.3511,68.2656,73.7101,81.7641,87.5351,91.0851,91.0824,92.9533,91.9259,88.5702,83.7155,79.4378,74.9032,70.2698,63.5633,58.5792,51.3544,44.8983,34.4034,26.2486,20.3624,15.3072,11.5550,9.4654,8.0570,6.4209
713,18.4790,19.2354,19.8545,21.0378,22.9977,25.4599,27.7858,30.7157,33.7729,35.7232,40.2609,47.3873,52.3345,60.5103,67.1717,72.1404,79.4609,85.9736,94.7151,102.4824,105.7423,105.6114,107.2995,104.7622,103.8609,97.8199,93.1696,85.9065,80.9318,73.6272,67.3886,59.1397,51.9845,39.8119,30.4649,23.3506,17.6634,13.2949,10.8143,9.3561,7.2908
733,21.7829,22.9295,23.7321,24.8585,27.4602,29.9662,32.1343,35.6842,39.5815,41.6057,46.9363,55.1507,60.9686,69.3693,78.3688,84.2556,91.4918,98.8095,109.8792,116.1200,121.0774,122.7659,122.9829,123.1221,118.2667,111.0217,105.9793,99.8606,94.2359,84.0118,77.4211,67.9439,59.2634,45.3218,34.8284,26.5903,20.4473,15.2404,12.3197,10.6807,8.4005
753,25.8487,26.6385,27.6705,29.0919,32.0241,35.2073,38.0629,42.1989,45.9054,48.4572,55.3661,63.6044,71.2063,80.4210,88.5102,96.6442,105.4992,113.3086,126.1264,132.9601,139.2866,141.1291,140.5417,140.0670,134.8195,127.9300,121.7537,114.5300,106.4917,95.8010,87.5415,78.0705,67.8801,51.8976,40.0904,30.3453,23.1112,17.3774,14.2283,12.2515,9.5667
773,30.1695,31.4521,32.5131,34.1576,37.0911,40.7715,43.5239,47.8573,53.0453,56.7565,63.0520,73.2866,81.7588,93.0063,103.1096,111.7688,121.3945,130.5335,144.9023,153.5554,158.8156,158.2691,160.8693,157.7332,154.4272,145.2603,136.5118,130.0726,122.2221,109.6029,98.8887,88.7432,76.1031,59.3393,45.6346,34.8632,26.1798,19.6781,15.9377,13.6856,10.7630
793,35.0984,35.8873,37.7991,39.1688,42.8050,46.8233,51.0336,55.4717,61.1855,64.8630,73.0055,84.8531,92.7324,105.8198,117.8080,125.8486,137.5832,148.0776,162.8337,176.8578,181.8120,181.2402,181.4921,180.3318,173.5642,163.2710,156.1987,147.3074,137.2351,122.8561,112.8602,100.6797,85.8713,66.7333,51.3658,39.4412,29.5693,22.1536,18.0702,15.5788,12.3162
813,40.1207,41.4465,43.6973,45.1070,48.6504,54.2832,58.5198,64.1401,69.4164,74.2854,81.8303,96.5320,105.7965,121.3395,134.2040,141.6807,155.9514,166.5928,183.2805,195.9650,202.6369,203.4630,205.6325,200.3287,196.3212,186.3437,174.1403,163.3746,154.4123,138.3444,126.5845,113.1339,97.6309,75.0510,57.9854,44.1052,32.9322,24.9966,20.1888,17.4302,13.7559
833,46.1646,47.8113,50.0315,51.8562,56.2362,60.6569,65.5098,72.2638,79.6151,83.6251,93.3638,109.2938,120.8200,135.2998,149.9181,159.6078,176.0147,188.7252,207.7638,220.2442,228.3446,229.7350,230.7734,229.0156,219.2599,207.5086,195.7800,183.2538,172.5438,154.6721,140.3730,125.3560,109.2309,84.1225,64.2358,49.4593,36.8608,27.9552,22.4994,19.5337,15.2312
853,52.7578,54.9921,56.4762,58.6909,63.7382,69.7869,75.3949,81.8902,89.1328,95.1348,106.4114,123.0605,135.0362,152.7997,167.4856,180.6165,197.0170,211.2719,232.7798,249.8848,257.8290,253.4114,261.1708,253.4400,246.1822,228.8792,217.4643,206.9844,192.3396,173.1492,157.2441,140.2227,121.1857,92.6906,70.8426,55.0537,41.0978,30.8915,24.9097,21.5429,16.9867
873,59.8767,61.8303,63.6764,66.6950,71.5315,77.3978,84.1944,92.2062,101.0044,106.3104,118.7058,136.1609,151.4817,172.8448,186.9740,205.6391,220.1562,234.9864,262.7570,276.1418,282.3238,284.5986,289.7026,281.6264,273.6360,256.7004,241.7602,231.6006,211.2909,193.5776,177.6753,156.7106,135.6447,103.7696,79.5324,61.6136,45.7743,34.3321,28.0691,24.0302,18.7251
893,67.3092,69.9717,72.5965,74.6396,79.6600,87.9727,94.2493,103.7573,113.0745,120.1935,131.9487,152.7506,168.3814,190.6762,211.7141,223.9996,244.6862,262.3830,288.8424,304.6780,313.5198,319.3036,320.2056,315.7110,306.2422,283.3336,273.1630,251.9946,238.5548,213.3872,196.3280,173.4982,150.1218,113.9257,86.9887,67.0600,50.5903,37.9876,31.2105,26.7205,20.8855
913,75.8344,77.7768,80.9582,83.7056,89.3706,98.5178,106.7332,115.0206,126.1850,132.7011,146.6238,171.6777,186.5475,210.7050,229.9088,247.1414,272.7230,291.3174,320.5378,343.9304,354.7478,351.3532,351.8834,344.7532,334.4616,313.7068,301.9456,282.0664,263.7404,237.4834,215.4581,188.9914,164.4841,127.8127,97.4717,74.3250,56.3526,42.1491,34.1205,29.1093,22.8908
